,time,x,y,theta
1053,10.53,792.575,602.316,-2.36961299319
1054,10.54,787.56,598.8555,-2.3629308034
1055,10.55,782.567,595.35,-2.35642701821
1056,10.56,777.7695,591.822,-2.3496174957
1057,10.57,773.0865,588.178,-2.34317770922
1058,10.58,768.264,584.403,-2.33619912662
1059,10.59,763.7525,580.7115,-2.33005746671
1060,10.6,759.282,577.0015,-2.3230528257
1061,10.61,754.8535,573.1475,-2.31662633411
1062,10.62,750.6015,569.2935,-2.3098132206
1063,10.63,746.4425,565.609,-2.30338160159
1064,10.64,742.281,561.7395,-2.29672478591
1065,10.65,738.2565,558.0385,-2.28995377442
1066,10.66,734.4305,554.127,-2.283487014
1067,10.67,730.429,550.247,-2.27670862544
1068,10.68,726.548,546.439,-2.27018371532
1069,10.69,722.8495,542.3985,-2.26443134052
1070,10.7,719.198,538.3905,-2.25818459299
1071,10.71,715.601,534.2115,-2.25240260155
1072,10.72,712.013,530.2035,-2.24613024977
1073,10.73,708.574,526.1805,-2.24035733819
1074,10.74,705.3045,522.153,-2.23443453413
1075,10.75,701.943,517.886,-2.22832164493
1076,10.76,698.7725,513.671,-2.22247311907
1077,10.77,695.7115,509.596,-2.21643688437
1078,10.78,692.5795,505.3725,-2.21071803611
1079,10.79,689.624,501.0545,-2.20474522211
1080,10.8,686.698,496.8635,-2.19928303495
1081,10.81,683.7855,492.719,-2.19344883507
1082,10.82,680.9975,488.3455,-2.18766584794
1083,10.83,678.269,484.119,-2.18327592522
1084,10.84,675.603,479.7955,-2.17800635828
1085,10.85,672.958,475.4305,-2.17258442839
1086,10.86,670.3695,471.162,-2.16730186529
1087,10.87,667.903,466.832,-2.16204131599
1088,10.88,665.4015,462.4335,-2.15667986375
1089,10.89,662.9835,458.128,-2.15114998485
1090,10.9,660.5645,453.791,-2.14584082092
1091,10.91,658.19,449.543,-2.14089016783
1092,10.92,655.8105,445.2135,-2.13581502217
1093,10.93,653.459,440.8235,-2.13053937995
1094,10.94,651.181,436.521,-2.12543149445
1095,10.95,649.0185,432.046,-2.12020576892
1096,10.96,646.922,427.6625,-2.11562351304
1097,10.97,644.901,423.2185,-2.11072605012
1098,10.98,642.792,418.742,-2.10592990434
1099,10.99,640.757,414.36,-2.10115183538
1100,11.0,638.727,409.8845,-2.09630323514
1101,11.01,636.786,405.519,-2.09189431987
1102,11.02,634.9865,401.067,-2.08741670155
1103,11.03,633.115,396.4815,-2.08269183527
1104,11.04,631.352,392.0345,-2.07816232058
1105,11.05,629.588,387.5455,-2.07330097909
1106,11.06,627.9775,383.154,-2.06904194536
1107,11.07,626.3635,378.657,-2.06454239319
1108,11.08,624.8795,374.0845,-2.06039885201
1109,11.09,623.399,369.516,-2.05557168007
1110,11.1,622.013,365.108,-2.05104262496
1111,11.11,620.6555,360.5495,-2.0467803098
